Country,Birth_Rate,Business_Tax_Rate,CO2_Emissions,Days_to_Start_Business,Ease_of_Business,Energy_Usage,GDP,Health Exp % GDP,Health_Exp/Capita,Hours_to_do_Tax,Infant_Mortality_Rate,Internet_Usage,Lending_Interest,Life_Expectancy_Female,Life_Expectancy_Male,Mobile_Phone_Usage,Population_0-14,Population_15-64,Population_65+,Population_Total,Population_Urban,Tourism_Inbound,Tourism_Outbound,Cluster
Afghanistan,0.04315384615384616,602.609375,80289.65909090907,54.787499999999994,170.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,439.859375,0.08276923076923078,0.016666666666666666,0.2148317307692308,87.19230769230771,79.88461538461539,0.2545454545454545,0.4903076923076923,0.7355865384615383,0.02076923076923077,29535900.951923076,0.23292307692307693,4559480769.230768,2539649737.762238,0
Albania,0.014692307692307692,602.609375,80289.65909090907,54.787499999999994,82.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,439.859375,0.07168269230769231,0.19230769230769232,0.2148317307692308,87.19230769230771,79.88461538461539,0.5615384615384615,0.2583846153846154,0.7355865384615383,0.08792307692307692,29535900.951923076,0.4785384615384615,4559480769.230768,2539649737.762238,0
Algeria,0.02207692307692308,737.125,102837.63636363637,54.787499999999994,151.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,451.0,0.07168269230769231,0.06923076923076923,0.2148317307692308,87.19230769230771,79.88461538461539,0.49230769230769234,0.2926923076923077,0.7355865384615383,0.044230769230769226,34760672.07692308,0.6451538461538462,4559480769.230768,2539649737.762238,0
AmericanSamoa,0.020499999999999997,602.609375,80289.65909090907,54.787499999999994,0.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,439.859375,0.07168269230769231,0.0,0.2148317307692308,87.19230769230771,79.88461538461539,0.0,0.0,0.7355865384615383,0.0,29535900.951923076,0.88,4559480769.230768,2539649737.762238,0
Andorra,0.010583333333333333,602.609375,80289.65909090907,54.787499999999994,0.0,38273.46875,154104284835.96152,0.09476923076923077,1354.7596153846152,439.859375,0.07168269230769231,0.5166666666666667,0.2148317307692308,87.19230769230771,79.88461538461539,0.7,0.0,0.7355865384615383,0.0,29535900.951923076,0.8974615384615384,4559480769.230768,2539649737.762238,0
Angola,0.04830769230769231,602.609375,80289.65909090907,82.0625,178.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,439.859375,0.11577884615384616,0.038461538461538464,0.32580288461538465,87.19230769230771,79.88461538461539,0.23076923076923078,0.4775384615384616,0.7355865384615383,0.02446153846153846,29535900.951923076,0.3698461538461538,4559480769.230768,2539649737.762238,0
AntiguaandBarbuda,0.018384615384615385,602.609375,80289.65909090907,54.787499999999994,66.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,439.859375,0.07168269230769231,0.3076923076923077,0.2148317307692308,87.19230769230771,79.88461538461539,1.1153846153846154,0.27676923076923077,0.7355865384615383,0.07184615384615384,29535900.951923076,0.2863076923076923,4559480769.230768,2539649737.762238,0
Argentina,0.017615384615384616,822.703125,133280.0227272727,54.787499999999994,121.0,63745.03125,254958485073.5769,0.09476923076923077,825.625,442.25,0.07168269230769231,0.2692307692307692,0.2148317307692308,87.19230769230771,79.88461538461539,0.8153846153846154,0.2606153846153846,0.7355865384615383,0.10323076923076924,38995454.615384616,0.9023846153846153,4559480769.230768,4197872290.2097907,1
Armenia,0.013769230769230768,602.609375,80289.65909090907,54.787499999999994,40.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,545.5,0.07168269230769231,0.12307692307692308,0.2148317307692308,87.19230769230771,79.88461538461539,0.4538461538461539,0.2213846153846154,0.7355865384615383,0.10892307692307691,29535900.951923076,0.6403076923076922,4559480769.230768,2539649737.762238,0
Aruba,0.012076923076923077,602.609375,80289.65909090907,54.787499999999994,0.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,439.859375,0.07168269230769231,0.38461538461538464,0.2148317307692308,87.19230769230771,79.88461538461539,0.9583333333333334,0.21515384615384617,0.7355865384615383,0.0906923076923077,29535900.951923076,0.4451538461538461,4559480769.230768,2539649737.762238,0
Australia,0.013384615384615384,602.609375,133280.0227272727,54.787499999999994,10.0,63745.03125,254958485073.5769,0.09476923076923077,1354.7596153846152,439.859375,0.07168269230769231,0.6799999999999999,0.2148317307692308,87.19230769230771,79.88461538461539,0.8461538461538461,0.19646153846153844,0.7355865384615383,0.13046153846153846,29535900.951923076,0.8813076923076923,7538134615.384614,4197872290.2097907,1
Austria,0.009384615384615384,602.609375,80289.65909090907,54.787499999999994,28.0,38273.46875,254958485073.5769,0.10607692307692308,1354.7596153846152,439.859375,0.07168269230769231,0.5923076923076923,0.2148317307692308,87.19230769230771,79.88461538461539,1.1538461538461537,0.15746153846153849,0.7355865384615383,0.16623076923076924,29535900.951923076,0.6582307692307693,7538134615.384614,4197872290.2097907,1
Azerbaijan,0.016615384615384615,602.609375,80289.65909090907,54.787499999999994,71.0,38273.46875,154104284835.96152,0.09476923076923077,825.625,525.625,0.07168269230769231,0.21818181818181817,0.2148317307692308,87.19230769230771,79.88461538461539,0.5076923076923077,0.25753846153846155,0.7355865384615383,0.06061538461538462,29535900.951923076,0.5260769230769231,4559480769.230768,2539649737.762238,0
BahamasThe,0.015769230769230768,602.609375,80289.65909090907,54.787499999999994,76.0,38273.46875,154104284835.96152,0.09476923076923077,1354.7596153846152,439.859375,0.07168269230769231,0.3153846153846154,0.2148317307692308,87.19230769230771,79.88461538461539,0.7,0.25123076923076926,0.7355865384615383,0.06361538461538462,29535900.951923076,0.8233076923076923,4559480769.230768,2539649737.762238,0
